Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,GLC,1,0.009,-2.295,3.925,C,333.0,2,99.9,a,d,glcp1ome,glc,P
HETATM,2,C2,GLC,1,1.114,-2.722,2.963,C,333.0,2,81.0,a,d,glcp1ome,glc,P
HETATM,3,C3,GLC,1,0.579,-3.568,1.82,C,333.0,2,73.4,a,d,glcp1ome,glc,P
HETATM,4,C4,GLC,1,-0.269,-4.701,2.351,C,333.0,2,70.9,a,d,glcp1ome,glc,P
HETATM,5,C5,GLC,1,-1.354,-4.147,3.275,C,333.0,2,72.6,a,d,glcp1ome,glc,P
HETATM,6,C6,GLC,1,-2.259,-5.191,3.892,C,333.0,2,61.9,a,d,glcp1ome,glc,P
HETATM,7,O2,GLC,1,1.739,-1.554,2.447,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,8,OH3,GLC,1,1.688,-4.112,1.094,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,9,OH4,GLC,1,-0.903,-5.403,1.292,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,10,O5,GLC,1,-0.698,-3.465,4.356,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,11,OH6,GLC,1,-1.533,-6.133,4.665,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,12,HO3,GLC,1,1.653,-3.57,0.149,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,13,HO4,GLC,1,-0.31,-6.279,1.028,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,14,HO6,GLC,1,-1.674,-6.404,5.711,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,15,H5,GLC,1,-1.984,-3.502,2.728,H,333.0,2,3.64,a,d,glcp1ome,glc,P
HETATM,16,H6S,GLC,1,-3.12,-5.095,4.387,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,17,H6R,GLC,1,-2.742,-5.716,3.12,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,18,H1,GLC,1,0.447,-1.763,4.769,H,333.0,2,4.9,a,d,glcp1ome,glc,P
HETATM,19,H3,GLC,1,-0.024,-2.936,1.168,H,333.0,2,3.73,a,d,glcp1ome,glc,P
HETATM,20,H4,GLC,1,0.388,-5.38,2.895,H,333.0,2,3.45,a,d,glcp1ome,glc,P
HETATM,21,H2,GLC,1,1.837,-3.302,3.538,H,333.0,2,3.57,a,d,glcp1ome,glc,P
HETATM,22,C1,CH3,3,-1.825,-0.954,4.428,C,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,23,H1,CH3,3,-2.537,-0.263,4.027,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,24,H2,CH3,3,-1.264,-0.479,5.205,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,25,H3,CH3,3,-2.338,-1.804,4.83,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,26,O1,GLC,1,-0.936,-1.378,3.393,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,27,C1,RAM,2,3.071,-1.3,2.862,C,333.0,2,103.8,a,l,rhap,rha,P
HETATM,28,C2,RAM,2,3.734,-0.232,1.954,C,333.0,2,71.4,a,l,rhap,rha,P
HETATM,29,C3,RAM,2,3.221,1.194,2.267,C,333.0,2,71.3,a,l,rhap,rha,P
HETATM,30,C4,RAM,2,3.248,1.517,3.779,C,333.0,2,73.2,a,l,rhap,rha,P
HETATM,31,C5,RAM,2,2.48,0.423,4.569,C,333.0,2,70.3,a,l,rhap,rha,P
HETATM,32,C6,RAM,2,2.582,0.6,6.09,C,333.0,2,17.9,a,l,rhap,rha,P
HETATM,33,OH2,RAM,2,5.147,-0.254,2.132,O,333.0,2,-1.0,a,l,rhap,rha,P
HETATM,34,OH3,RAM,2,4.015,2.159,1.587,O,333.0,2,-1.0,a,l,rhap,rha,P
HETATM,35,OH4,RAM,2,2.666,2.804,3.986,O,333.0,2,-1.0,a,l,rhap,rha,P
HETATM,36,O5,RAM,2,3.026,-0.893,4.26,O,333.0,2,-1.0,a,l,rhap,rha,P
HETATM,37,H1,RAM,2,3.652,-2.24,2.784,H,333.0,2,4.96,a,l,rhap,rha,P
HETATM,38,H2,RAM,2,3.514,-0.472,0.896,H,333.0,2,4.07,a,l,rhap,rha,P
HETATM,39,H3,RAM,2,2.176,1.272,1.906,H,333.0,2,3.78,a,l,rhap,rha,P
HETATM,40,H4,RAM,2,4.303,1.526,4.12,H,333.0,2,3.47,a,l,rhap,rha,P
HETATM,41,H5,RAM,2,1.41,0.449,4.278,H,333.0,2,3.77,a,l,rhap,rha,P
HETATM,42,1H6,RAM,2,2.057,-0.219,6.615,H,333.0,2,-1.0,a,l,rhap,rha,P
