Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,GLC,1,-3.625,1.607,3.298,C,333.0,2,103.7,b,d,glcp1ome,glc,P
HETATM,2,C2,GLC,1,-2.29,0.834,3.21,C,333.0,2,81.4,b,d,glcp1ome,glc,P
HETATM,3,C3,GLC,1,-2.556,-0.615,2.75,C,333.0,2,77.7,b,d,glcp1ome,glc,P
HETATM,4,C4,GLC,1,-3.594,-1.319,3.654,C,333.0,2,71.1,b,d,glcp1ome,glc,P
HETATM,5,C5,GLC,1,-4.888,-0.46,3.79,C,333.0,2,77.0,b,d,glcp1ome,glc,P
HETATM,6,C6,GLC,1,-5.873,-1.01,4.837,C,333.0,2,62.3,b,d,glcp1ome,glc,P
HETATM,7,O2,GLC,1,-1.412,1.481,2.293,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,8,OH3,GLC,1,-1.33,-1.333,2.78,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,9,OH4,GLC,1,-3.885,-2.587,3.076,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,10,O5,GLC,1,-4.55,0.913,4.173,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,11,OH6,GLC,1,-5.336,-0.87,6.151,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,12,HO3,GLC,1,-0.675,-0.7,2.465,H,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,13,HO4,GLC,1,-3.025,-2.947,2.838,H,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,14,HO6,GLC,1,-4.814,-0.061,6.123,H,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,15,H1,GLC,1,-4.073,1.733,2.29,H,333.0,2,4.47,b,d,glcp1ome,glc,P
HETATM,16,H2,GLC,1,-1.825,0.817,4.216,H,333.0,2,3.32,b,d,glcp1ome,glc,P
HETATM,17,H3,GLC,1,-2.935,-0.597,1.708,H,333.0,2,3.68,b,d,glcp1ome,glc,P
HETATM,18,H4,GLC,1,-3.151,-1.468,4.659,H,333.0,2,3.38,b,d,glcp1ome,glc,P
HETATM,19,H5,GLC,1,-5.403,-0.449,2.809,H,333.0,2,3.45,b,d,glcp1ome,glc,P
HETATM,20,H6S,GLC,1,-6.832,-0.463,4.771,H,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,21,H6R,GLC,1,-6.113,-2.072,4.634,H,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,22,C1,CH3,3,-4.522,3.728,3.628,C,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,23,H1,CH3,3,-4.353,4.688,4.07,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,24,H2,CH3,3,-5.402,3.29,4.05,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,25,H3,CH3,3,-4.652,3.839,2.571,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,26,O1,GLC,1,-3.401,2.88,3.884,O,333.0,2,-1.0,b,d,glcp1ome,glc,P
HETATM,27,C1,FUC,2,-0.104,1.8,2.764,C,333.0,2,101.3,a,l,fucp,fuc,P
HETATM,28,C2,FUC,2,0.913,2.087,1.644,C,333.0,2,69.9,a,l,fucp,fuc,P
HETATM,29,C3,FUC,2,0.604,3.428,0.963,C,333.0,2,71.1,a,l,fucp,fuc,P
HETATM,30,C4,FUC,2,0.504,4.531,2.03,C,333.0,2,73.3,a,l,fucp,fuc,P
HETATM,31,C5,FUC,2,-0.518,4.123,3.103,C,333.0,2,68.2,a,l,fucp,fuc,P
HETATM,32,C6,FUC,2,-0.657,5.143,4.239,C,333.0,2,16.4,a,l,fucp,fuc,P
HETATM,33,O5,FUC,2,-0.165,2.873,3.708,O,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,34,OH2,FUC,2,0.919,0.97,0.758,O,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,35,OH3,FUC,2,1.591,3.691,-0.03,O,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,36,OH4,FUC,2,1.756,4.763,2.672,O,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,37,H5,FUC,2,-1.51,4.037,2.619,H,333.0,2,4.26,a,l,fucp,fuc,P
HETATM,38,H1,FUC,2,0.219,0.924,3.339,H,333.0,2,5.15,a,l,fucp,fuc,P
HETATM,39,H2,FUC,2,1.913,2.166,2.114,H,333.0,2,3.78,a,l,fucp,fuc,P
HETATM,40,HO2,FUC,2,1.659,1.107,0.152,H,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,41,H3,FUC,2,-0.378,3.334,0.461,H,333.0,2,3.87,a,l,fucp,fuc,P
HETATM,42,HO3,FUC,2,1.256,4.426,-0.56,H,333.0,2,-1.0,a,l,fucp,fuc,P
HETATM,43,H4,FUC,2,0.169,5.478,1.564,H,333.0,2,3.81,a,l,fucp,fuc,P
