Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,RAM,1,-4.288,-9.499,9.448,C,343.0,2,101.7,b,l,rhap,rha,P
HETATM,2,C2,RAM,1,-4.884,-8.616,8.321,C,343.0,2,68.2,b,l,rhap,rha,P
HETATM,3,C3,RAM,1,-3.753,-7.967,7.486,C,343.0,2,77.9,b,l,rhap,rha,P
HETATM,4,C4,RAM,1,-2.696,-8.993,7.011,C,343.0,2,71.3,b,l,rhap,rha,P
HETATM,5,C5,RAM,1,-2.179,-9.833,8.213,C,343.0,2,73.2,b,l,rhap,rha,P
HETATM,6,C6,RAM,1,-1.26,-10.985,7.785,C,343.0,2,17.5,b,l,rhap,rha,P
HETATM,7,OH2,RAM,1,-5.705,-9.393,7.451,O,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,8,O3,RAM,1,-4.303,-7.327,6.341,O,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,9,OH4,RAM,1,-1.627,-8.293,6.376,O,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,10,O5,RAM,1,-3.307,-10.428,8.912,O,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,11,OH1,RAM,1,-5.326,-10.269,10.019,O,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,12,H1,RAM,1,-3.823,-8.87,10.234,H,343.0,2,4.81,b,l,rhap,rha,P
HETATM,13,HO4,RAM,1,-0.941,-8.948,6.217,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,14,HO1,RAM,1,-5.698,-10.713,9.252,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,15,H2,RAM,1,-5.506,-7.822,8.776,H,343.0,2,4.23,b,l,rhap,rha,P
HETATM,16,H3,RAM,1,-3.248,-7.204,8.113,H,343.0,2,3.61,b,l,rhap,rha,P
HETATM,17,H4,RAM,1,-3.175,-9.679,6.283,H,343.0,2,3.39,b,l,rhap,rha,P
HETATM,18,H5,RAM,1,-1.623,-9.174,8.911,H,343.0,2,3.35,b,l,rhap,rha,P
HETATM,19,1H6,RAM,1,-0.952,-11.581,8.664,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,20,2H6,RAM,1,-0.339,-10.63,7.292,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,21,3H6,RAM,1,-1.776,-11.678,7.095,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,22,HO2,RAM,1,-5.671,-8.911,6.617,H,343.0,2,-1.0,b,l,rhap,rha,P
HETATM,23,C1,GLC,2,-4.629,-5.948,6.466,C,343.0,2,96.1,a,d,glcp,glc,P
HETATM,24,C2,GLC,2,-5.589,-5.407,5.411,C,343.0,2,72.4,a,d,glcp,glc,P
HETATM,25,C3,GLC,2,-4.959,-5.379,4.028,C,343.0,2,72.3,a,d,glcp,glc,P
HETATM,26,C4,GLC,2,-3.615,-4.688,4.073,C,343.0,2,76.6,a,d,glcp,glc,P
HETATM,27,C5,GLC,2,-2.736,-5.334,5.144,C,343.0,2,71.5,a,d,glcp,glc,P
HETATM,28,C6,GLC,2,-1.365,-4.713,5.303,C,343.0,2,-1.0,a,d,glcp,glc,P
