Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,ARE,1,-1.243,-2.064,-1.863,C,300.0,1,93.3,b,l,arap,ara,P
HETATM,2,C2,ARE,1,0.143,-1.46,-1.96,C,300.0,1,68.2,b,l,arap,ara,P
HETATM,3,C3,ARE,1,0.058,0.038,-1.688,C,300.0,1,79.1,b,l,arap,ara,P
HETATM,4,C4,ARE,1,-0.573,0.289,-0.308,C,300.0,1,69.3,b,l,arap,ara,P
HETATM,5,C5,ARE,1,-1.928,-0.452,-0.272,C,300.0,1,62.9,b,l,arap,ara,P
HETATM,6,OH1,ARE,1,-2.02,-1.55,-2.874,O,300.0,1,-1.0,b,l,arap,ara,P
HETATM,7,OH2,ARE,1,0.667,-1.721,-3.272,O,300.0,1,-1.0,b,l,arap,ara,P
HETATM,8,O3,ARE,1,1.366,0.614,-1.743,O,300.0,1,-1.0,b,l,arap,ara,P
HETATM,9,OH4,ARE,1,0.267,-0.222,0.74,O,300.0,1,-1.0,b,l,arap,ara,P
HETATM,10,O5,ARE,1,-1.791,-1.838,-0.576,O,300.0,1,-1.0,b,l,arap,ara,P
HETATM,11,HO1,ARE,1,-2.842,-2.244,-3.049,H,300.0,1,-1.0,b,l,arap,ara,P
HETATM,12,HO2,ARE,1,1.596,-1.179,-3.444,H,300.0,1,-1.0,b,l,arap,ara,P
HETATM,13,HO4,ARE,1,1.241,0.267,0.721,H,300.0,1,-1.0,b,l,arap,ara,P
HETATM,14,H1,ARE,1,-1.238,-3.111,-2.047,H,300.0,1,5.24,b,l,arap,ara,P
HETATM,15,H2,ARE,1,0.802,-1.908,-1.23,H,300.0,1,3.96,b,l,arap,ara,P
HETATM,16,H3,ARE,1,-0.573,0.52,-2.414,H,300.0,1,3.97,b,l,arap,ara,P
HETATM,17,H4,ARE,1,-0.71,1.345,-0.123,H,300.0,1,4.15,b,l,arap,ara,P
HETATM,18,H5A,ARE,1,-2.265,-0.386,0.76,H,300.0,1,-1.0,b,l,arap,ara,P
HETATM,19,H5E,ARE,1,-2.728,-0.011,-0.851,H,300.0,1,-1.0,b,l,arap,ara,P
HETATM,20,C1,XYP,2,1.474,1.918,-2.299,C,300.0,1,105.0,b,d,xylp,xyl,P
HETATM,21,C2,XYP,2,2.818,2.555,-2.007,C,300.0,1,74.0,b,d,xylp,xyl,P
HETATM,22,C3,XYP,2,2.86,3.946,-2.629,C,300.0,1,76.3,b,d,xylp,xyl,P
HETATM,23,C4,XYP,2,2.594,3.856,-4.141,C,300.0,1,70.0,b,d,xylp,xyl,P
HETATM,24,C5,XYP,2,1.261,3.101,-4.337,C,300.0,1,65.9,b,d,xylp,xyl,P
HETATM,25,OH2,XYP,2,2.996,2.617,-0.583,O,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,26,OH3,XYP,2,4.136,4.544,-2.388,O,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,27,O5,XYP,2,1.265,1.827,-3.698,O,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,28,HO2,XYP,2,3.876,3.202,-0.317,H,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,29,HO3,XYP,2,4.032,5.319,-1.629,H,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,30,OH4,XYP,2,2.532,5.147,-4.734,O,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,31,HO4,XYP,2,3.543,5.533,-4.872,H,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,32,H5A,XYP,2,1.187,2.919,-5.406,H,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,33,H5E,XYP,2,0.362,3.65,-4.09,H,300.0,1,-1.0,b,d,xylp,xyl,P
HETATM,34,H4,XYP,2,3.4,3.283,-4.598,H,300.0,1,3.61,b,d,xylp,xyl,P
HETATM,35,H3,XYP,2,2.092,4.562,-2.16,H,300.0,1,3.44,b,d,xylp,xyl,P
HETATM,36,H2,XYP,2,3.621,1.946,-2.423,H,300.0,1,3.35,b,d,xylp,xyl,P
HETATM,37,H1,XYP,2,0.681,2.523,-1.858,H,300.0,1,4.6,b,d,xylp,xyl,P
