Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,NAG,1,-2.905,3.892,-1.817,C,323.0,1,102.4,b,d,glcpnac,glcnac,P
HETATM,2,C2,NAG,1,-2.62,2.356,-1.79,C,323.0,1,57.5,b,d,glcpnac,glcnac,P
HETATM,3,C3,NAG,1,-2.628,1.845,-0.316,C,323.0,1,74.9,b,d,glcpnac,glcnac,P
HETATM,4,C4,NAG,1,-1.683,2.673,0.579,C,323.0,1,71.1,b,d,glcpnac,glcnac,P
HETATM,5,C5,NAG,1,-2.015,4.187,0.477,C,323.0,1,76.5,b,d,glcpnac,glcnac,P
HETATM,6,C6,NAG,1,-1.032,5.066,1.273,C,323.0,1,62.4,b,d,glcpnac,glcnac,P
HETATM,7,CO2,NAG,1,-3.317,0.649,-3.441,C,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,8,CM2,NAG,1,-4.483,-0.061,-4.096,C,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,9,OH1,NAG,1,-2.666,4.424,-3.112,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,10,O3,NAG,1,-2.222,0.477,-0.221,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,11,OH4,NAG,1,-1.822,2.199,1.914,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,12,O5,NAG,1,-2.005,4.603,-0.924,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,13,OH6,NAG,1,0.309,4.928,0.794,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,14,OC2,NAG,1,-2.168,0.289,-3.673,O,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,15,N2,NAG,1,-3.639,1.616,-2.586,N,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,16,HO1,NAG,1,-1.709,4.482,-3.171,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,17,H2,NAG,1,-1.599,2.21,-2.2,H,323.0,1,3.64,b,d,glcpnac,glcnac,P
HETATM,18,H3,NAG,1,-3.656,1.936,0.091,H,323.0,1,3.48,b,d,glcpnac,glcnac,P
HETATM,19,H4,NAG,1,-0.639,2.518,0.24,H,323.0,1,3.36,b,d,glcpnac,glcnac,P
HETATM,20,H5,NAG,1,-3.028,4.355,0.895,H,323.0,1,3.29,b,d,glcpnac,glcnac,P
HETATM,21,H6S,NAG,1,-1.348,6.125,1.211,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,22,H6R,NAG,1,-1.08,4.791,2.345,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,23,1HM2,NAG,1,-4.242,-0.288,-5.149,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,24,2HM2,NAG,1,-5.423,0.52,-4.086,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,25,3HM2,NAG,1,-4.664,-1.022,-3.584,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,26,HO4,NAG,1,-1.724,1.244,1.834,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,27,HO6,NAG,1,0.894,5.284,1.468,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
HETATM,28,HN2,NAG,1,-4.622,1.888,-2.625,H,323.0,1,-1.0,b,d,glcpnac,glcnac,P
