Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,temperature_f,temperature_label,labels,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,GLC,1,0.082,0.06,3.059,C,333.0,2,98.7,a,d,glcp1ome,glc,P
HETATM,2,C2,GLC,1,0.708,-1.292,3.39,C,333.0,2,79.8,a,d,glcp1ome,glc,P
HETATM,3,C3,GLC,1,-0.314,-2.416,3.36,C,333.0,2,72.9,a,d,glcp1ome,glc,P
HETATM,4,C4,GLC,1,-1.521,-2.057,4.197,C,333.0,2,71.0,a,d,glcp1ome,glc,P
HETATM,5,C5,GLC,1,-2.074,-0.702,3.756,C,333.0,2,72.6,a,d,glcp1ome,glc,P
HETATM,6,C6,GLC,1,-3.275,-0.218,4.537,C,333.0,2,62.0,a,d,glcp1ome,glc,P
HETATM,7,O2,GLC,1,1.739,-1.554,2.447,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,8,OH3,GLC,1,0.291,-3.6,3.893,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,9,OH4,GLC,1,-2.548,-3.025,4.052,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,10,O5,GLC,1,-1.033,0.273,3.935,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,11,OH6,GLC,1,-2.991,-0.09,5.921,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,12,HO3,GLC,1,0.392,-4.24,3.016,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,13,HO4,GLC,1,-2.488,-3.747,4.866,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,14,HO6,GLC,1,-3.102,0.788,6.557,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,15,H5,GLC,1,-2.386,-0.762,2.75,H,333.0,2,3.66,a,d,glcp1ome,glc,P
HETATM,16,H6S,GLC,1,-3.91,0.531,4.358,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,17,H6R,GLC,1,-4.049,-0.921,4.434,H,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,18,H1,GLC,1,0.83,0.844,3.172,H,333.0,2,4.97,a,d,glcp1ome,glc,P
HETATM,19,H3,GLC,1,-0.624,-2.582,2.329,H,333.0,2,3.78,a,d,glcp1ome,glc,P
HETATM,20,H4,GLC,1,-1.202,-2.019,5.239,H,333.0,2,3.45,a,d,glcp1ome,glc,P
HETATM,21,H2,GLC,1,1.135,-1.215,4.39,H,333.0,2,3.75,a,d,glcp1ome,glc,P
HETATM,22,C1,CH3,3,-0.801,1.553,1.509,C,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,23,H1,CH3,3,-1.144,1.663,0.5,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,24,H2,CH3,3,0.017,2.218,1.684,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,25,H3,CH3,3,-1.599,1.785,2.184,H,333.0,2,-1.0,missing_a_b,missing_L_D,missing_mono,missing_refornulated_mono,missing_p_f
HETATM,26,O1,GLC,1,-0.372,0.207,1.722,O,333.0,2,-1.0,a,d,glcp1ome,glc,P
HETATM,27,C1,FUC,2,3.074,-1.299,2.862,C,333.0,2,103.2,b,l,fucp,fuc,P
HETATM,28,C2,FUC,2,4.07,-1.268,1.685,C,333.0,2,71.7,b,l,fucp,fuc,P
HETATM,29,C3,FUC,2,5.506,-1.116,2.203,C,333.0,2,74.2,b,l,fucp,fuc,P
HETATM,30,C4,FUC,2,5.802,-2.165,3.285,C,333.0,2,72.6,b,l,fucp,fuc,P
HETATM,31,C5,FUC,2,4.719,-2.082,4.371,C,333.0,2,72.3,b,l,fucp,fuc,P
HETATM,32,C6,FUC,2,4.903,-3.094,5.507,C,333.0,2,16.6,b,l,fucp,fuc,P
HETATM,33,OH4,FUC,2,5.805,-3.491,2.759,O,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,34,OH2,FUC,2,3.678,-0.2,0.824,O,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,35,O5,FUC,2,3.428,-2.316,3.799,O,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,36,OH3,FUC,2,6.41,-1.159,1.104,O,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,37,H5,FUC,2,4.746,-1.069,4.817,H,333.0,2,3.79,b,l,fucp,fuc,P
HETATM,38,H1,FUC,2,3.103,-0.309,3.36,H,333.0,2,4.47,b,l,fucp,fuc,P
HETATM,39,H2,FUC,2,3.983,-2.224,1.136,H,333.0,2,3.51,b,l,fucp,fuc,P
HETATM,40,HO2,FUC,2,4.23,-0.273,0.034,H,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,41,H3,FUC,2,5.573,-0.114,2.67,H,333.0,2,3.64,b,l,fucp,fuc,P
HETATM,42,HO3,FUC,2,7.262,-0.848,1.439,H,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,43,H4,FUC,2,6.789,-1.964,3.741,H,333.0,2,3.76,b,l,fucp,fuc,P
HETATM,44,HO4,FUC,2,6.552,-3.54,2.148,H,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,45,1H6,FUC,2,5.887,-2.995,5.991,H,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,46,2H6,FUC,2,4.128,-2.944,6.276,H,333.0,2,-1.0,b,l,fucp,fuc,P
HETATM,47,3H6,FUC,2,4.806,-4.125,5.131,H,333.0,2,-1.0,b,l,fucp,fuc,P
